,Name,close_year,close_month,overall_closed_in_time,overall_total_applications,overall_percent_closed_in_time,Date
1,Fire Response,2018,6,156,183,85,6/3/2019
2,Fire Response,2018,7,167,190,88,6/4/2019
3,Fire Response,2018,8,129,155,83,6/5/2019
4,Fire Response,2018,9,139,158,88,6/6/2019
5,Fire Response,2018,10,139,162,86,6/7/2019
6,Fire Response,2018,11,149,175,85,6/1/2019
7,Fire Response,2018,12,130,155,84,6/9/2019
8,Fire Response,2019,1,146,161,91,6/10/2019
9,Fire Response,2019,2,123,138,89,6/11/2019
10,Fire Response,2019,3,105,131,80,6/12/2019
11,Fire Response,2019,4,124,150,83,6/13/2019
12,Fire Response,2019,5,101,106,95,6/14/2019
13,No Heat,2018,7,1,1,100,6/15/2019
14,No Heat,2018,8,3,3,100,6/16/2019
15,No Heat,2018,9,2,2,100,6/17/2019
16,No Heat,2018,10,20,21,95,6/18/2019
17,No Heat,2018,11,22,24,92,6/19/2019
18,No Heat,2018,12,27,30,90,6/20/2019
19,No Heat,2019,1,24,27,89,6/21/2019
20,No Heat,2019,2,26,30,87,6/22/2019
21,No Heat,2019,3,12,12,100,6/23/2019
22,No Heat,2019,4,23,25,92,6/24/2019
23,No Heat,2019,5,20,20,100,6/25/2019
24,No Water,2018,6,6,6,100,6/26/2019
25,No Water,2018,7,9,9,100,6/27/2019
26,No Water,2018,8,7,8,88,6/28/2019
27,No Water,2018,9,3,3,100,6/29/2019
28,No Water,2018,10,15,15,100,6/30/2019
29,No Water,2018,11,3,3,100,7/1/2019
30,No Water,2018,12,19,22,86,7/2/2019
31,No Water,2019,1,8,8,100,7/3/2019
32,No Water,2019,2,3,3,100,7/4/2019
33,No Water,2019,3,3,3,100,7/5/2019
34,No Water,2019,4,6,6,100,7/6/2019
35,No Water,2019,5,2,2,100,7/7/2019
36,overgrowth,2018,6,256,327,78,7/8/2019
37,overgrowth,2018,7,115,137,84,7/9/2019
38,overgrowth,2018,8,103,124,83,7/10/2019
39,overgrowth,2018,9,91,113,81,7/11/2019
40,overgrowth,2018,10,54,73,74,7/12/2019
41,overgrowth,2018,11,27,31,87,7/13/2019
42,overgrowth,2018,12,4,4,100,7/14/2019
43,overgrowth,2019,1,3,3,100,7/15/2019
44,overgrowth,2019,2,1,1,100,7/16/2019
45,overgrowth,2019,3,2,2,100,7/17/2019
46,overgrowth,2019,4,3,3,100,7/18/2019
47,overgrowth,2019,5,188,218,86,7/19/2019
48,Police Response,NA,NA,9152,11635,79,7/20/2019
49,Potholes,2018,6,47,239,20,7/21/2019
50,Potholes,2018,7,11,76,14,7/22/2019
51,Potholes,2018,8,37,76,49,7/23/2019
52,Potholes,2018,9,39,58,67,7/24/2019
53,Potholes,2018,10,25,47,53,7/25/2019
54,Potholes,2018,11,32,34,94,7/26/2019
55,Potholes,2018,12,63,63,100,7/27/2019
56,Potholes,2019,1,45,45,100,7/28/2019
57,Potholes,2019,2,181,181,100,7/29/2019
58,Potholes,2019,3,181,181,100,7/30/2019
59,Potholes,2019,4,72,72,100,7/31/2019
60,Potholes,2019,5,212,357,59,8/1/2019
61,road_cuts,2018,6,8,8,100,8/2/2019
62,road_cuts,2018,7,46,46,100,8/3/2019
63,road_cuts,2018,8,8,8,100,8/4/2019
64,trash_debris,2018,6,78,79,99,8/5/2019
65,trash_debris,2018,7,72,75,96,8/6/2019
66,trash_debris,2018,8,92,100,92,8/7/2019
67,trash_debris,2018,9,76,77,99,8/8/2019
68,trash_debris,2018,10,60,62,97,8/9/2019
69,trash_debris,2018,11,51,52,98,8/10/2019
70,trash_debris,2018,12,21,22,95,8/11/2019
71,trash_debris,2019,1,33,33,100,8/12/2019
72,trash_debris,2019,2,13,13,100,8/13/2019
73,trash_debris,2019,3,47,48,98,8/14/2019
74,trash_debris,2019,4,86,87,99,8/15/2019
75,trash_debris,2019,5,78,80,98,8/16/2019
